CTRL+W,,,CTRL+W ,,KEY,,WIN,Standard,GUI  Close/Luk
CTRL+X,,,CTRL+X ,,KEY,,WIN,Standard,GUI  Cut/Klip
Ctrl+Y or F4,,,Ctrl+Y eller F4,,KEY,,WIN,Standard,Repeat/Gentag
CTRL+Z,,,CTRL+Z ,,KEY,,WIN,Standard,GUI  Undo/Fortryd
Cue Cards,,,Stikordskort,,GEN,,WIN,Standard,skriv med stort begyndelsesbogstav.
current ,,,aktuel/aktiv/nuværende,,GEN,,WIN,Standard,
cursor,,,markør,,GEN,,WIN,Standard,A generic term for the visible indication of where the user’s interaction will occur.  See also insertion point and pointer.
curve,,,kurve,,GEN,,WIN,Standard,
Custom Dictionary,,,Brugerordbog,,GEN,,MAC,Standard,Macintosh and Windows filename
custom install,,,specialinstallation,,GEN,,WIN,Standard,
Custom installation,,,Specialinstallation,,GEN,,WIN,Standard,See PACK.DOC
custom-made command,,,brugerdefineret kommando,,GEN,,WIN,Standard,
CUSTOM.DIC,,,BRUGER.DIC,,FIL,,WIN,Standard,
Customize,c,,Tilpas,t,COM,,WIN,Standard,GUI
customize,,,tilpasse,,GEN,V,WIN,Standard,
Cut,t,,Klip  ,k,COM,,WIN,Standard,GUI
cut,,,klippe ud,,GEN,V,WIN,Standard,GUI
cut and paste,,,klippe ud og sætte ind,,GEN,V,WIN,Standard,
cutout,,,udklip,,GEN,,WIN,Standard,
Czech,,,tjekkisk,,GEN,,WIN,Standard,
Czech Republic,,,Tjekkiet,,GEN ,,WIN,Standard,
damaged,,,beskadiget,,GEN,ADJ,WIN,Standard,
Danish,,,dansk,,GEN,,WIN,Standard,
Dash,,,bindestreg,,GEN,,WIN,Standard,-
Data Access,,,Dataadgang,,GEN,,WIN,Standard,Navn på håndbog
date,,,dato,,GEN,,WIN,Standard,
