abbreviation,,abreviatura,,GEN,,WIN,Standard
File,,Archivo,D,MNU,,WIN,Standard,,
file converter,,convertidor de archivos,,GEN,N,WIN,Standard,,
file extension,,extensión de archivo,,GEN,N,WIN,Standard,,
file format,,formato de archivo,,GEN,N,WIN,Standard,,
file handle,,controlador de archivos,,GEN,N,WIN,Standard,,"In MS-DOS and OS/2 a ""token"" that the system uses to refer to an open file."
File Manager,,Administrador de archivos,,GEN,N,WIN,Standard,,
file mode,,modo de acceso a archivo,,GEN,N,WIN,Standard,,
File Name,,Nombre de archivo,N,DIA,,WIN,Standard,,
file type,,tipo de archivo,,GEN,,WIN,Standard,,
filename,,nombredearchivo,,GEN,N,WIN,Standard,,Parameter. Also nombreDeArchivo
filename extension,,extensión del nombre del archivo,,GEN,,WIN,Standard,,
filter,,filtro,,GEN,N,WIN,Standard,,
Find,,Buscar,S,COM,,WIN,Standard,,
Find Next,,Buscar siguiente,w,DIA,,WIN,Standard,,
Find What,,Buscar,n,DIA,,WIN,Standard,,
floppy disk,,disquete,,GEN,,WIN,Standard,,
folder,,carpeta,,GEN,,WIN,Standard,,
following,,siguiente ,,GEN,,WIN,Standard,,
font,,fuente,,GEN,N,WIN,Standard,,Fem
Font Size,,Tamaño de fuente,,DIA,N,WIN,Standard,,
font size,,tamaño de fuente,,GEN,N,WIN,Standard,,
font style,,estilo de fuente,,GEN,N,WIN,Standard,,
form letter,,carta modelo,,GEN,N,WIN,Standard,,
format,,dar  formato,,GEN,V,WIN,Standard,,
Format,,Formato,T,MNU,,WIN,Standard,,
formula,,fórmula,,GEN,N,WIN,Standard,,
formula bar,,barra de fórmulas,,GEN,N,WIN,Standard,,The bar below the tool bar that displays the content of a cell or line. Used mainly in spreadsheets.
fraction,,fracción,,GEN,N,WIN,Standard,,
frame,,marco,,GEN,N,WIN,Standard,,
freeze,,inmovilizar,,GEN,V,WIN,Standard,,
Freeze Panes,,Inmovilizar secciones,F,COM,,WIN,Standard,,
From ,,"De, desde",V,DIA,,WIN,Standard,,
Full Menus,,Menús completos,M,COM,,WIN,Standard,,
function,,función,,GEN,N,WIN,Standard,,
function key,,tecla de función,,GEN,N,WIN,Standard,,
gallery,,galería,,GEN,N,WIN,Standard,,
game,,juego,,GEN,N,WIN,Standard,,
gateway,,puerta de enlace,,GEN,N,WIN,Standard,,
GB (gigabyte),,GB (gigabyte),,GEN,N,WIN,Standard,,
genitive ending,,terminación de genitivo,,GEN,N,WIN,Standard,,
Getting Started,,Introducción,,GEN,,WIN,Standard,,
Gigabyte,,gigabyte ,,GEN,N,WIN,Standard,,
global,,global,,GEN ,ADJ,WIN,Standard,,
glossary,,glosario,,GEN,N,WIN,Standard,,
Go To,,Ir a,G,COM,,WIN,Standard,,
Goto/Gosub button,,"botón ""Ir a, Ir a sub"" ",,GEN,,WIN,Standard,,
graph,,gráfico,,GEN,N,WIN,Standard,,
graphic,,gráfico,,GEN,ADJ,WIN,Standard,,
grayed,,atenuado,,GEN,,WIN,Standard,,
grayed,,inactivo,,GEN,,WIN,Standard,,
grayed,,no disponible,,GEN,,WIN,Standard,,
grid,,cuadrícula,,GEN,N,WIN,Standard,,A set of lines that crisscross at right angles.
group,,grupo,,GEN,N,WIN,Standard,,
group,,agrupar,,GEN,V,WIN,Standard,,
group box,,cuadro de grupo,,GEN,N,WIN,Standard
group icon,,icono de grupo,,GEN,N,WIN,Standard
group window,,ventana de grupo ,,GEN,N,WIN,Standard
GUI (graphical user interface),,GUI (interfaz gráfica de usuario),,GEN,N,WIN,Standard
guidelines,,instrucciones,,GEN,,WIN,Standard
handle,,controlar,,GEN,V,WIN,Standard
handler,,controlador,,GEN,N,WIN,Standard
hanging indent,,sangría francesa,,GEN,N,WIN,Standard
hard copy,,copia impresa ,,GEN,N,WIN,Standard
hard disk,,disco duro,,GEN,N,WIN,Standard
hard return,,retorno de carro manual,,GEN,N,WIN,Standard
hardware,,hardware,,GEN,N,WIN,Standard
header,,encabezado,,GEN,N,WIN,Standard
heading,,título,,GEN,N,WIN,Standard
heap,,montón,,GEN,N,WIN,Standard
help,,ayuda,,GEN,N,WIN,Standard
Help,,Ayuda,,MNU,,WIN,Standard,,
help window,,ventana de ayuda,,GEN,N,WIN,Standard,,
HFS (hierarchical file system),,sistema jerárquico de archivos (HFS),,GEN,,WIN,Standard,,
Hide,,Ocultar,A,COM,,WIN,Standard,,
hide,,ocultar,,GEN,V,WIN,Standard,,
high-density disk,,disco de alta densidad,,GEN,N,WIN,Standard,,
highlight,,resaltar,,GEN,V,WIN,Standard,,
highlight,,resalte,,GEN,N,WIN,Standard,,
hint,,pista,,GEN,N,WIN,Standard,,
HOME,,INICIO,,KEY,,WIN,Standard,,
horizontal scroll bar,,barra de desplazamiento horizontal,,GEN,N,WIN,Standard,,
horizontal split bar,,barra de división horizontal,,GEN,N,WIN,Standard,,
host,,host,,GEN,N,WIN,Standard,,
hot key,,tecla de acceso rápido,,GEN,N,WIN,Standard,,A one- or two-keystroke command that switches the use to a different program. 
hot spot,,zona interactiva,,GEN,N,WIN,Standard,,
hourglass pointer,,reloj de arena,,GEN,N,WIN,Standard,,
How to use Help,,Uso de la Ayuda,H,COM,,WIN,Standard,,
HPFS (high-performance file system),,sistema de archivos de alto rendimiento (HPFS),,GEN,,WIN,Standard,,
hyphen,,guión,,GEN,N,WIN,Standard,,
hyphenation,,división de palabras,,GEN,N,WIN,Standard,,
I/O (input/output),,E/S (entrada/salida),,GEN,,WIN,Standard,,
icon,,icono,,GEN,N,WIN,Standard,,
