DOWN ARROW,,NACH-UNTEN-TASTE,,,KEY,,WIN,Standard,Style Guide,
down scroll arrow,,Bildlaufpfeil abwärts,,,GEN,N,WIN,Standard,GuiGuide,
draft output,,Konzeptausdruck,,,GEN,N,WIN,Standard,Style Guide,
drag,,ziehen,,,GEN,V,WIN,Standard,,
Drag and Drop,,Drag & Drop,,,GEN,N,WIN,Standard,Style Guide,
drive,,Laufwerk,,,GEN,N,WIN,Standard,Style Guide,
drive A,,Laufwerk A:,,,GEN,N,WIN,Standard,Always add the colon to the drive letter.,
drive door,,Laufwerkverriegelung,,,GEN,N,WIN,Standard,Style Guide,
drive icon,,Laufwerksymbol,,,GEN,N,WIN,Standard,GuiGuide,
drive name,,Laufwerkname,,,GEN,,WIN,Standard,,
driver,,Treiber,,,GEN,N,WIN,Standard,,
Drives,,Laufwerke,L,,DIA,,WIN,Standard,GuiGuide,
drop,,ablegen,,,GEN,V,WIN,Standard,,
drop cap,,"Initial, das",,,GEN,N,WIN,Standard,A feature in Word,A large capital letter at the beginnig of a block of text.
drop-down arrow,,Dropdown-Pfeil,,,GEN,N,WIN,Standard,Style Guide,
drop-down combo box,,Dropdown-Kombinationsfeld,,,GEN,N,WIN,Standard,GuiGuide,
drop-down list box,,Dropdown-Listenfeld,,,GEN,N,WIN,Standard,GuiGuide,
drop-down menu,,Dropdown-Menü,,,GEN,N,WIN,Standard,GuiGuide,A type of menu that drops from the menu bar and remains open.
